Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Developing a Women-Focused PrEP Intervention for HIV Prevention,NIMH,9137345,1R34MH108437-01A1,1,R34,MH,108437,1,A1,,8726270,"TEITELMAN, ANNE M. ","KOBLIN, BERYL A",UNIVERSITY OF PENNSYLVANIA, ,2016,267675,
Brief Intervention to Reduce College Sexual Victimization Risk,NIAAA,9242215,1R34AA024854-01A1,1,R34,AA,24854,1,A1,,1878181,"TESTA, MARIA L",Not Applicable,STATE UNIVERSITY OF NEW YORK AT BUFFALO, ,2017,348906,
Dendritic Cell (DCreg) Therapy in Live Donor Renal Transplant Recipients,NIAID,9067561,1R34AI123033-01,1,R34,AI,123033,1,,,1893892,"THOMSON, ANGUS W",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2016,231188,
A pilot Peer Mentor intervention that trains Black MSM to use and promote uptake of HIV/STI self-testing to peers and sex partners.,NIMH,9702443,1R34MH118178-01A1,1,R34,MH,118178,1,A1,,6841475,"TOBIN, KARIN E",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2019,327500,
A Home-based Video and Motivational Interviewing Intervention to Improve Preschoolers Diet Quality and Parental Food Parenting Practices,NHLBI,9601136,1R34HL140229-01A1,1,R34,HL,140229,1,A1,,8489856,"TOVAR, ALISON ",Not Applicable,UNIVERSITY OF RHODE ISLAND, ,2018,256704,
Extraorally delivered lo level light therapy for prevention of oropharyngeal mucositis in pediatric patients undergoing hematopoietic stem cell transplantation,NIDCR,9092792,1R34DE025908-01,1,R34,DE,25908,1,,,6787558,"TREISTER, NATHANIEL S ","DUNCAN, CHRISTINE N",BRIGHAM AND WOMEN'S HOSPITAL, ,2016,322079,
Pilot Study of a Community-Pharmacy Model to Expand Access to Medications to Treat and Prevent Hepatitis C; Opioid Use Disorders; Overdose and HIV Among Persons Who Inject Drugs,NIDA,9822934,1R34DA047660-01A1,1,R34,DA,47660,1,A1,,8922410,"TSUI, JUDITH ",Not Applicable,UNIVERSITY OF WASHINGTON, ,2019,214590,
A Social Network AOD Intervention for Homeless Youth Transitioning to Housing,NIDA,9648355,1R34DA047502-01,1,R34,DA,47502,1,,,1857809,"TUCKER, JOAN S ","KENNEDY, DAVID PATRICK",RAND CORPORATION, ,2019,289692,
Enhancing Partner Services among Men Who Have Sex with Men Living With HIV: A Pilot Randomized Controlled Trial,NIMH,9780836,1R34MH119963-01,1,R34,MH,119963,1,,,9344955,"TUCKER, JOSEPH DAVID ","TANG, WEIMING ",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2019,196159,
Coexisting nocturia and insomnia in older adults: Planning a trial of integrated therapy,NIA,9669266,1R34AG058835-01A1,1,R34,AG,58835,1,A1,,9360868,"VAUGHAN, ELIZABETH CAMILLE ","FUNG, CONSTANCE ;MARKLAND, ALAYNE DENISE",EMORY UNIVERSITY, ,2019,284136,
Randomized Controlled Trial of CRAFT with American Indians,NIDA,9244637,1R34DA040064-01A1,1,R34,DA,40064,1,A1,,8254826,"VENNER, KAMILLA L.",Not Applicable,UNIVERSITY OF NEW MEXICO, ,2016,185057,
Development of a Mindfulness-Based Treatment for the Reduction of Alcohol Use and Smoking Cessation,NCCIH,9599113,1R34AT009689-01A1,1,R34,AT,9689,1,A1,,12480731,"VINCI, CHRISTINE ",Not Applicable,H. LEE MOFFITT CANCER CTR & RES INST, ,2018,280198,
Feasibility of an integrated intervention to reduce advanced HIV disease mortality among hospitalized adults in Zambia,NIMH,9843311,1R34MH121103-01,1,R34,MH,121103,1,,,11015527,"VINIKOOR, MICHAEL JEFFREY",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2019,208532,
Healthy Living Partnerships to Prevent Diabetes in Veterans,NIDDK,9173605,1R34DK108100-01A1,1,R34,DK,108100,1,A1,,6781595,"VITOLINS, MARA Z",Not Applicable,WAKE FOREST UNIVERSITY HEALTH SCIENCES, ,2016,232003,
Integrating Mind Body Skills with Physical Activity to Improve Pain Outcomes in Patients with Heterogeneous Chronic Pain Conditions,NCCIH,9386482,1R34AT009356-01A1,1,R34,AT,9356,1,A1,,10387042,"VRANCEANU, ANA-MARIA ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2017,256500,
Structural; single-cell transcriptomic; and functional 3-photon mapping of spinal pain circuits,NINDS,9746442,1R34NS111654-01,1,R34,NS,111654,1,,,7610663,"VULCHANOVA, LYUDMILA H ","KARA, PRAKASH ;KODANDARAMAIAH, SUHASA B",UNIVERSITY OF MINNESOTA, ,2019,660014,
Advancing STOP: Self-regulation/CBT Therapy for Opioid addiction and Pain,NIDA,9244192,1R34DA041549-01A1,1,R34,DA,41549,1,A1,,8507378,"WACHHOLTZ, AMY B",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2017,240324,
Development and Testing of a Just-in-Time Adaptive Smart Phone Intervention to Reduce Drinking among Homeless Adults,NIAAA,9528808,1R34AA024584-01A1,1,R34,AA,24584,1,A1,,2135458,"WALTERS, SCOTT T ","BUSINELLE, MICHAEL S.",UNIVERSITY OF NORTH TEXAS HLTH SCI CTR, ,2018,343340,
Delivering a Post-Partum Weight Loss Intervention via Facebook vs In-Person Groups: a Feasibility Pilot Trial,NHLBI,9298011,1R34HL136979-01,1,R34,HL,136979,1,,,10504269,"WARING, MOLLY E.",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,2017,48032,
Development of a statistical framework for the analysis of social network predictors of therapeutic community outcomes,NIDA,9455897,1R34DA043079-01A1,1,R34,DA,43079,1,A1,,8659804,"WARREN, KEITH LEVERETT",Not Applicable,OHIO STATE UNIVERSITY, ,2018,230243,
Implementing Medication-Assisted Therapy for Substance Use Disorders in Mental Health,NIAAA,9414164,1R34AA025480-01A1,1,R34,AA,25480,1,A1,,1907033,"WATKINS, KATHERINE E",Not Applicable,RAND CORPORATION, ,2017,295438,
Developing Capacity for Opioid Use Disorder Treatment in Mental Health,NIDA,9605873,1R34DA046950-01,1,R34,DA,46950,1,,,1907033,"WATKINS, KATHERINE E",Not Applicable,RAND CORPORATION, ,2018,358097,
Developing SUPPORT; a Community-Driven; Recovery-Oriented System of Care,NIDA,9245279,1R34DA041640-01A1,1,R34,DA,41640,1,A1,,9647762,"WATSON, DENNIS PAUL ","RAY, BRAD ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,159668,
Development of an HIV Self-testing Intervention to Reduce HIV risks among MSM: Taking the Guess Out of Seroguessing,NIMH,9200406,1R34MH109359-01A1,1,R34,MH,109359,1,A1,,10455876,"WEI, CHONGYI ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,203419,
Treatment Development of Yoga for Anger Management in Incarcerated Adults,NCCIH,9649587,1R34AT010172-01,1,R34,AT,10172,1,,,6772971,"WEINSTOCK, LAUREN M ","UEBELACKER, LISA A",BROWN UNIVERSITY, ,2019,262145,
Integrated Treatment Adherence Program for Bipolar Disorder at the Time of Prison Release,NIMH,9587650,1R34MH117198-01,1,R34,MH,117198,1,,,6772971,"WEINSTOCK, LAUREN M",Not Applicable,BROWN UNIVERSITY, ,2018,273890,
Increasing early infant male circumcision uptake in Zambia: Like Father; Like Son,NIMH,9844282,1R34MH121111-01,1,R34,MH,121111,1,,,1893286,"WEISS, STEPHEN M.",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2019,207184,
Azithromycin and the airway microbiome in asthma,NHLBI,9456087,1R34HL136991-01A1,1,R34,HL,136991,1,A1,,1871026,"WHITE, STEVEN R ","SMITH, LEWIS J",UNIVERSITY OF CHICAGO, ,2018,375158,
Feasibility study randomizing IST vs URD BMT for children with aplastic anemia,NHLBI,9317915,1R34HL133384-01A1,1,R34,HL,133384,1,A1,,1862385,"WILLIAMS, DAVID A ","PULSIPHER, MICHAEL A",BOSTON CHILDREN'S HOSPITAL, ,2017,278389,
Planning Changing Talk Online (CHATO): a Clinical Trial Testing the Effects of Online Communication Training for Nursing Home Staff on Behavioral and Psychological Symptoms of Residents with Dementia,NINR,9531017,1R34NR017793-01,1,R34,NR,17793,1,,,6093593,"WILLIAMS, KRISTINE N.",Not Applicable,UNIVERSITY OF KANSAS MEDICAL CENTER, ,2018,241102,
Improving Mental Health Services for Prisoners with Serious Mental Illnesses,NIMH,9228569,1R34MH111855-01,1,R34,MH,111855,1,,,8816797,"WILSON, AMY BLANK",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2017,275769,
A tailored; peer-delivered intervention to reduce recurring opioid overdoses,NIDA,9015947,1R34DA040862-01,1,R34,DA,40862,1,,,1908004,"WINHUSEN, THERESA M",Not Applicable,UNIVERSITY OF CINCINNATI, ,2016,225150,
Pilot Study of Zinc Acetate for Chronic Cough,NHLBI,9115284,1R34HL132369-01,1,R34,HL,132369,1,,,1876560,"WISE, ROBERT A. ","CANNING, BRENDAN J;HOLBROOK, JANET T.",JOHNS HOPKINS UNIVERSITY, ,2016,285250,
Collaborative Child Mental Healthcare in Low-Resource Settings,NIMH,9016949,1R34MH106645-01A1,1,R34,MH,106645,1,A1,,6256417,"WISSOW, LAWRENCE S.",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2016,230547,
Integrating Computer-Assisted Parent Training Therapy into Community Mental Health Clinic Practice,NIMH,9582218,1R34MH113598-01A1,1,R34,MH,113598,1,A1,,9479901,"WOLFF, JENNIFER CHRISTINE",Not Applicable,RHODE ISLAND HOSPITAL, ,2018,253381,
Developing and Evaluating a Fully Integrated Treatment Program for Comorbid Social Anxiety and Alcohol Use Disorders,NIAAA,9221914,1R34AA025364-01,1,R34,AA,25364,1,,,10364416,"WOLITZKY-TAYLOR, KATE BASIA",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2017,152709,
Targeting maladaptive responding to negative affect in adolescent cannabis users,NIDA,9371970,1R34DA044350-01,1,R34,DA,44350,1,,,10364416,"WOLITZKY-TAYLOR, KATE BASIA",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2017,148663,
Developing a Robust Evidence-Based Implementation Package for Youth Autism,NIMH,9166039,1R34MH110591-01,1,R34,MH,110591,1,,,8551521,"WOOD, JEFFREY JAMES ","MCLEOD, BRYCE DOUGLAS",UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2016,366889,
Brief Acceptance and Commitment Therapy for HIV-Infected At-Risk Drinkers,NIAAA,9490579,1R34AA026246-01A1,1,R34,AA,26246,1,A1,,10682496,"WOOLF-KING, SARAH E ","MAISTO, STEPHEN A",SYRACUSE UNIVERSITY, ,2018,194363,
Applying user-centered design strategies to develop a tablet-optimized intervention to help high-risk men starting PrEP reduce their heavy drinking and adhere to their medication,NIAAA,9695364,1R34AA027195-01A1,1,R34,AA,27195,1,A1,,10419402,"WRAY, TYLER BLAKE ","CHAN, PHILIP ANDREW",BROWN UNIVERSITY, ,2019,244619,
A Mindfulness-Based e-Health Intervention to Improve Medication Adherence among Breast Cancer Survivors,NCCIH,9452284,1R34AT009447-01A1,1,R34,AT,9447,1,A1,,9218362,"YANEZ, BETINA ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2018,158000,
Using Open Contest and Neuro-Influence Experiment to Develop and Evaluate PrEP Promotion Messages for High Risk Men,NIMH,9555091,1R34MH116725-01,1,R34,MH,116725,1,,,10462511,"YANG, CUI ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2018,241636,
Texting for Relapse Prevention: Improving outcomes for people with schizophrenia,NIMH,9165410,1R34MH108781-01A1,1,R34,MH,108781,1,A1,,8669800,"YBARRA, MICHELE L. ","GOGGINS, BERNADETTE ",CENTER FOR INNOVATIVE PUBLIC HEALTH RESEARCH, ,2016,330698,
Nexus of Risk: Sexual Assault; Alcohol Use; and Risky Sex among College Women,NIAAA,9453294,1R34AA026055-01A1,1,R34,AA,26055,1,A1,,10592563,"YEATER, ELIZABETH ",Not Applicable,UNIVERSITY OF NEW MEXICO, ,2018,212599,
Coupling Technology with Mind-Body Exercise to Facilitate Physical Activity in Patients with Chronic Cardiopulmonary Disease,NCCIH,9221416,1R34AT009354-01,1,R34,AT,9354,1,,,6794432,"YEH, GLORIA Y",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2017,276773,
Adaptation and Pilot Study of Yoga to Reduce Depression in Adolescents,NCCIH,9505240,1R34AT009886-01,1,R34,AT,9886,1,,,3087175,"YEN, SHIRLEY  ","UEBELACKER, LISA A",BROWN UNIVERSITY, ,2018,255602,
Point-of-care C-reactive protein-based tuberculosis screening among people living with HIV: planning a comparative effectiveness trial,NIAID,9413180,1R34AI134589-01,1,R34,AI,134589,1,,,10763279,"YOON, CHRISTINA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2017,235938,
Pilot Randomized Trial with Flecainide in ARVC Patients,NHLBI,9587014,1R34HL143372-01,1,R34,HL,143372,1,,,6409646,"ZAREBA, WOJCIECH ",Not Applicable,UNIVERSITY OF ROCHESTER, ,2018,362888,
A webnovela-based intervention to promote HIV testing among Colombian MSM,NIMH,9203126,1R34MH111362-01,1,R34,MH,111362,1,,,6072014,"ZEA, MARIA CECILIA",Not Applicable,GEORGE WASHINGTON UNIVERSITY, ,2016,303440,
Development of a Virtual Reality Graded Exposure Intervention for Low Back Pain,NIDA,9182638,1R34DA040954-01A1,1,R34,DA,40954,1,A1,,9868997,"ZIELKE, MARJORIE A. ","FRANCE, CHRISTOPHER R;TROST, ZINA ",UNIVERSITY OF TEXAS DALLAS, ,2016,345025,
A Lay-Led Intervention for War and Refugee Related Trauma,NIMH,9295355,1R34MH112756-01,1,R34,MH,112756,1,,,1908111,"ZOELLNER, LORI A",Not Applicable,UNIVERSITY OF WASHINGTON, ,2017,206152,
Autism Access Link for Early Referral and Treatment,NIMH,9806288,1R34MH120184-01,1,R34,MH,120184,1,,,9214414,"ZUCKERMAN, KATHARINE ELIZABETH",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY, ,2019,257728,
Risk-adapted thromboprophylaxis of hospitalized cancer patients,NHLBI,9036135,1R34HL127156-01A1,1,R34,HL,127156,1,A1,,8342596,"ZWICKER, JEFFREY  ","KHORANA, ALOK A",BETH ISRAEL DEACONESS MEDICAL CENTER, ,2016,253901,
Thromboprophylaxis with rosuvastatin following surgery for ovarian cancer,NHLBI,9223984,1R34HL135226-01,1,R34,HL,135226,1,,,8342596,"ZWICKER, JEFFREY ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2017,165109,
