"","X.1","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","X","Stats"
"3507",13644,"15-LOX-1 Regulation of Resolving Generation to Modulate Colon Cancer","NCI",9187612,"1R01CA195686-01A1",1,"R01","CA",195686,1,"A1",NA,1953966,"SHUREIQI, IMAD ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2016,366000,NA,NA,"Include"
"3508",13646,"Spreading Depolarizations and Neuronal Vulnerability","NINDS",9545503,"1R01NS106901-01",1,"R01","NS",106901,1,"",NA,8152271,"SHUTTLEWORTH, CLAUDE W","Not Applicable","University Of New Mexico Health Scis Ctr",NA,2018,337945,NA,NA,"Include"
"3509",13648,"Injectable microtissues to promote rapid host re-perfusion of ischemic tissues","NHLBI",9500560,"1R01HL141935-01",1,"R01","HL",141935,1,"",NA,8249018,"SIA, SAMUEL K","Not Applicable","Columbia University Health Sciences",NA,2018,385239,NA,NA,"Include"
"3510",13651,"Beta-catenin in vascular homeostasis and remodeling","NHLBI",9384078,"1R01HL133861-01A1",1,"R01","HL",133861,1,"A1",NA,1939506,"SIBINGA, NICHOLAS E","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2017,653470,NA,NA,"Include"
"3511",13652,"Cell Cycle Blockade and Therapeutic Sensitization","NCI",9381419,"1R01CA211975-01A1",1,"R01","CA",211975,1,"A1",NA,1899544,"SIDDIK, ZAHID H","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2017,366000,NA,NA,"Include"
"3512",13661,"Dual Inhibition of Mitochondrial Matrix Chaperones and Anti-Apoptotic Bcl-2 Family Members for Glioblastoma Therapy.","NINDS",9190880,"1R01NS095848-01A1",1,"R01","NS",95848,1,"A1",NA,11582845,"SIEGELIN, MARKUS D","Not Applicable","Columbia University Health Sciences",NA,2016,350000,NA,NA,"Include"
"3513",13665,"Defining the molecular interactions within nanoparticles that enable delivery of long nucleic acids","NIBIB",9594526,"1R01EB025192-01A1",1,"R01","EB",25192,1,"A1",NA,10112717,"SIEGWART, DANIEL JOHN","Not Applicable","Ut Southwestern Medical Center",NA,2018,364500,NA,NA,"Include"
"3514",13669,"Optimizing Lung Cancer Treatment in HIV Infected Persons","NCI",9349089,"1R01CA210806-01A1",1,"R01","CA",210806,1,"A1",NA,10998105,"SIGEL, KEITH MAGNUS","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2017,609180,NA,NA,"Include"
"3515",13677,"White matter hyperintensity-associated astrocytopathy in Alzheimers disease and vascular cognitive impairment A targeted histopathologic study using postmortem 7T MRI","NIA",9521153,"1R01AG056712-01A1",1,"R01","AG",56712,1,"A1",NA,7895599,"SILBERT, LISA C ","WOLTJER, RANDALL L","Oregon Health & Science University",NA,2018,769995,NA,NA,"Include"
"3516",13678,"CEREBELLAR FUNCTION IN TREMOR","NINDS",9446733,"1R01NS100874-01A1",1,"R01","NS",100874,1,"A1",NA,9743230,"SILLITOE, ROY VINCENT","Not Applicable","Baylor College Of Medicine",NA,2017,348783,NA,NA,"Include"
"3517",13681,"Investigating the molecular mechanism that mediates the addiction of inflammatory breast cancer cells to HDAC6 function","NCI",9176752,"1R01CA201162-01A1",1,"R01","CA",201162,1,"A1",NA,8668133,"SILVA, JOSE M","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,399283,NA,NA,"Include"
"3518",13689,"Ocular hemodynamics of rat model of glaucoma","NEI",9423160,"1R01EY028550-01",1,"R01","EY",28550,1,"",NA,2093726,"SILVERMAN, RONALD H","Not Applicable","Columbia University Health Sciences",NA,2018,453364,NA,NA,"Include"
"3519",13708,"Targeting the CSF microbiota to optimize CSF shunt infection treatment","NINDS",9079204,"1R01NS095979-01",1,"R01","NS",95979,1,"",NA,8759535,"SIMON, TAMARA DANIELLE","Not Applicable","Seattle Children's Hospital",NA,2016,470912,NA,NA,"Include"
"3520",13709,"HIV restriction by APOBEC3A","NIAID",9213996,"1R01AI120998-01A1",1,"R01","AI",120998,1,"A1",NA,7087592,"SIMON, VIVIANA A","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2016,485931,NA,NA,"Include"
"3521",13711,"Fear learning in adolescents with chronic pain: Neural and behavioral mechanisms","NICHD",9027002,"1R01HD083270-01A1",1,"R01","HD",83270,1,"A1",NA,9817338,"SIMONS, LAURA E","Not Applicable","Boston Children's Hospital",NA,2016,571294,NA,NA,"Include"
"3522",13714,"A Community-based Assessment of Skin Care; Allergies; and Eczema: The CASCADE Trial","NIAMS",9443202,"1R01AR071057-01A1",1,"R01","AR",71057,1,"A1",NA,7568955,"SIMPSON, ERIC L","Not Applicable","Oregon Health & Science University",NA,2018,974026,NA,NA,"Include"
"3523",13716,"Analytical Tools for Complex Brain Networks: Fusing Novel Statistical Methods and Network Science to Understand Brain  Function","NIBIB",9516278,"1R01EB024559-01A1",1,"R01","EB",24559,1,"A1",NA,8299620,"SIMPSON, SEAN L","Not Applicable","Wake Forest University Health Sciences",NA,2018,408179,NA,NA,"Include"
"3524",13717,"Screening to Prophylax against C. difficile Infection (StoP CDI)","AHRQ",9217486,"1R01HS024951-01",1,"R01","HS",24951,1,"",NA,8952639,"SIMS, MATTHEW DAVID","Not Applicable","William Beaumont Hospital Research Inst",NA,2016,473473,NA,NA,"Include"
"3525",13718,"Elucidating mechanisms of SIRT1 activation","NIDDK",9177480,"1R01DK100263-01A1",1,"R01","DK",100263,1,"A1",NA,6484112,"SINCLAIR, DAVID A.","Not Applicable","Harvard Medical School",NA,2016,515939,NA,NA,"Include"
"3526",13722,"Harms of Hepatocellular Carcinoma Screening in Patients with Cirrhosis","NCI",9382806,"1R01CA212008-01A1",1,"R01","CA",212008,1,"A1",NA,10629367,"SINGAL, AMIT ","Not Applicable","Ut Southwestern Medical Center",NA,2017,690111,NA,NA,"Include"
"3527",13736,"Targeting the Metabolic Basis of Cachexia in Pancreatic Cancer","NCI",9263614,"1R01CA210439-01A1",1,"R01","CA",210439,1,"A1",NA,10679629,"SINGH, PANKAJ KUMAR","Not Applicable","University Of Nebraska Medical Center",NA,2017,454065,NA,NA,"Include"
"3528",13738,"Targeting CXCR2 axis in Pancreatic Cancer","NCI",9546154,"1R01CA228524-01",1,"R01","CA",228524,1,"",NA,1859729,"SINGH, RAKESH K ","BATRA, SURINDER K.","University Of Nebraska Medical Center",NA,2018,401679,NA,NA,"Include"
"3529",13739,"Development of a novel therapeutic agent that exploits specific vulnerabilities in claudin low breast cancer","NCI",9307347,"1R01CA207222-01A1",1,"R01","CA",207222,1,"A1",NA,9548968,"SINGH, RAVI N","Not Applicable","Wake Forest University Health Sciences",NA,2017,351544,NA,NA,"Include"
"3530",13741,"APOL1 in Diabetic Podocytopathy","NIDDK",9577667,"1R01DK118017-01",1,"R01","DK",118017,1,"",NA,1863819,"SINGHAL, PRAVIN C","Not Applicable","Feinstein Institute For Medical Research",NA,2018,516369,NA,NA,"Include"
"3531",13752,"Innate Immune regulation of helminth-induced inflammation","NIAID",9078287,"1R01AI123224-01",1,"R01","AI",123224,1,"",NA,9841567,"SIRACUSA, MARK CHRISTOPHER","Not Applicable","Rbhs-New Jersey Medical School",NA,2016,397500,NA,NA,"Include"
"3532",13760,"Molecular mapping of microbial communities at the host-pathogen interface by multi-modal 3-dimensional imaging mass spectrometry","NIAID",9659850,"1R01AI138581-01A1",1,"R01","AI",138581,1,"A1",NA,6488277,"SKAAR, ERIC P ","SPRAGGINS, JEFFREY M","Vanderbilt University Medical Center",NA,2018,593526,NA,NA,"Include"
"3533",13763,"Integrated Multiscale Networks in Schizophrenia","NIMH",9101498,"1R01MH109897-01",1,"R01","MH",109897,1,"",NA,1887318,"SKLAR, PAMELA  ","SCHADT, ERIC E","Icahn School Of Medicine At Mount Sinai",NA,2016,488052,NA,NA,"Include"
"3534",13772,"Regulation of Nuclear Functions by Drosophila Linker Histone H1","NIGMS",9580528,"1R01GM129244-01",1,"R01","GM",129244,1,"",NA,1857785,"SKOULTCHI, ARTHUR I ","FYODOROV, DMITRY V","Albert Einstein College Of Medicine, Inc",NA,2018,80354,NA,NA,"Include"
"3535",13780,"A novel exon-specific U1 snRNA strategy to correct splicing in Familial Dysautonomia","NEI",9604141,"1R01EY029544-01",1,"R01","EY",29544,1,"",NA,1902597,"SLAUGENHAUPT, SUSAN A","Not Applicable","Massachusetts General Hospital",NA,2018,515138,NA,NA,"Include"
"3536",13786,"Mechanistic Links Between Changing Estrogen Profiles; Inflammation and the Increased Risk and Metastasis of Breast Cancer in Obese Women","NCI",9310854,"1R01CA210440-01A1",1,"R01","CA",210440,1,"A1",NA,7648819,"SLINGERLAND, JOYCE MARIE","Not Applicable","University Of Miami School Of Medicine",NA,2017,351131,NA,NA,"Include"
"3537",13788,"Dietary Modulation of Neuroinflammation in Age-Related Memory Disorders","NIA",9546096,"1R01AG058417-01A1",1,"R01","AG",58417,1,"A1",NA,1889704,"SLOAN, RICHARD P ","SMALL, SCOTT A","Columbia University Health Sciences",NA,2018,825082,NA,NA,"Include"
"3538",13790,"Integrated analysis of coronary anatomy and biology with 18F-fluoride PET and CT angiography","NHLBI",9382827,"1R01HL135557-01A1",1,"R01","HL",135557,1,"A1",NA,8631226,"SLOMKA, PIOTR J","Not Applicable","Cedars-Sinai Medical Center",NA,2017,771431,NA,NA,"Include"
"3539",13798,"Leveraging the methionine salvage pathway as a novel therapy for prostate cancer.","NCI",9104867,"1R01CA197996-01A1",1,"R01","CA",197996,1,"A1",NA,6090612,"SMIRAGLIA, DOMINIC JAMES","Not Applicable","Roswell Park Cancer Institute Corp",NA,2016,389422,NA,NA,"Include"
"3540",13800,"Predictive Modeling of Influenza-Pneumococcal Coinfection","NIAID",9576441,"1R01AI139088-01",1,"R01","AI",139088,1,"",NA,10516512,"SMITH, AMBER M.","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2018,380000,NA,NA,"Include"
"3541",13801,"A prospective; multi-center pivotal study of the LUM Imaging System for real-time; in vivo margin assessment in breast conserving surgery","NCI",9219682,"1R01CA212138-01",1,"R01","CA",212138,1,"",NA,11312533,"SMITH, BARBARA LYNN ","CHAGPAR, ANEES B;FERRER, JORGE ;HUNT, KELLY K;HWANG, EUN-SIL SHELLEY;WAPNIR, IRENE LEONOR","Massachusetts General Hospital",NA,2017,723579,NA,NA,"Include"
"3542",13802,"Chronic obstructive pulmonary disease in non-smokers","NHLBI",9177184,"1R01HL130506-01A1",1,"R01","HL",130506,1,"A1",NA,11231471,"SMITH, BENJAMIN M.","Not Applicable","Columbia University Health Sciences",NA,2016,809824,NA,NA,"Include"
"3543",13804,"Biochemical mechanisms of beta cell protection through bromodomain inhibition","NIDDK",9638334,"1R01DK119359-01",1,"R01","DK",119359,1,"",NA,10213218,"SMITH, BRIAN CHRISTOPHER","Not Applicable","Medical College Of Wisconsin",NA,2018,385000,NA,NA,"Include"
"3544",13805,"TEEN Connections for Support from Multidisciplinary Professionals & Peers","NINR",9145310,"1R01NR015743-01A1",1,"R01","NR",15743,1,"A1",NA,1887188,"SMITH, CAROL E","Not Applicable","University Of Kansas Medical Center",NA,2016,562382,NA,NA,"Include"
"3545",13813,"Prostate-Specific Androgen Transporters are the Missing Target for Complete ADT","NCI",9027508,"1R01CA193829-01A1",1,"R01","CA",193829,1,"A1",NA,1861034,"SMITH, GARY JOSEPH ","WU, YUE ","Roswell Park Cancer Institute Corp",NA,2016,392306,NA,NA,"Include"
"3546",13818,"De-orphanizing MMPs in intercelluar interactions","NIGMS",9176901,"1R01GM107523-01A1",1,"R01","GM",107523,1,"A1",NA,2551650,"SMITH, JEFFREY W","Not Applicable","Sanford Burnham Prebys Medical Discovery Institute",NA,2016,522356,NA,NA,"Include"
"3547",13821,"Mechanism of ApoA1 Lipidation by ABCA1 in HDL biogenesis","NHLBI",9102483,"1R01HL128268-01A1",1,"R01","HL",128268,1,"A1",NA,1916685,"SMITH, JONATHAN D","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2016,407625,NA,NA,"Include"
"3548",13832,"Antigenic landscape of the human helminth IgE antibody response","NIAID",9290647,"1R01AI130459-01",1,"R01","AI",130459,1,"",NA,10763019,"SMITH, SCOTT A","Not Applicable","Vanderbilt University Medical Center",NA,2017,350340,NA,NA,"Include"
"3549",13833,"Structural and Functional MRI of the Cervical Spinal Cord in Multiple Sclerosis","NINDS",9644346,"1R01NS109114-01",1,"R01","NS",109114,1,"",NA,9367303,"SMITH, SETH A","Not Applicable","Vanderbilt University Medical Center",NA,2018,354252,NA,NA,"Include"
"3550",13834,"Investigating the synaptic pathology of Autism","NIMH",9467727,"1R01MH113545-01A1",1,"R01","MH",113545,1,"A1",NA,9680172,"SMITH, STEPHEN ","Not Applicable","Seattle Children's Hospital",NA,2018,521823,NA,NA,"Include"
"3551",13847,"Integrating Proteomics and Metabolomics to Understand Pediatric Glomerular Disease Pathophysiology and Prognosis","NIDDK",9159939,"1R01DK110077-01",1,"R01","DK",110077,1,"",NA,1935081,"SMOYER, WILLIAM E. ","KLEIN, JON ","Research Inst Nationwide Children's Hosp",NA,2016,379355,NA,NA,"Include"
"3552",13850,"Type III interferon Control of Mucosal Immunity","NIDDK",9403339,"1R01DK115217-01",1,"R01","DK",115217,1,"",NA,1899782,"SNAPPER, SCOTT B ","ZANONI, IVAN ","Boston Children's Hospital",NA,2017,622835,NA,NA,"Include"
"3553",13855,"Attenuated inflammation in S. epidermidis CNS infection is protective in infants","NINDS",9106995,"1R01NS092732-01A1",1,"R01","NS",92732,1,"A1",NA,9971869,"SNOWDEN, JESSICA ","Not Applicable","University Of Nebraska Medical Center",NA,2016,329219,NA,NA,"Include"
"3554",13858,"Structure and function of Transient Receptor Potential channels","NCI",9235633,"1R01CA206573-01A1",1,"R01","CA",206573,1,"A1",NA,10369965,"SOBOLEVSKY, ALEXANDER ","Not Applicable","Columbia University Health Sciences",NA,2017,422985,NA,NA,"Include"
"3555",13861,"Novel Growth Factor Regulators of Early Erythropoieisis","NHLBI",9498301,"1R01HL141402-01",1,"R01","HL",141402,1,"",NA,6799775,"SOCOLOVSKY, MERAV  ","KLEIN, ALLON MOSHE","Univ Of Massachusetts Med Sch Worcester",NA,2018,657879,NA,NA,"Include"
"3556",13872,"Prenatal alcohol and stroke susceptibility in the aging adult with FASD","NIAAA",9534282,"1R01AA026756-01",1,"R01","AA",26756,1,"",NA,1880131,"SOHRABJI, FARIDA  ","MIRANDA, RAJESH C","Texas A&M University Health Science Ctr",NA,2018,334125,NA,NA,"Include"
"3557",13874,"Mechanisms of neural crest specification","NIDCR",9497253,"1R01DE027665-01",1,"R01","DE",27665,1,"",NA,1896269,"SOKOL, SERGEI ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2018,470272,NA,NA,"Include"
"3558",13876,"Siah2: an E3 ligase organizes polarity and cytoskeletal links in neuron migration","NINDS",9594937,"1R01NS104029-01A1",1,"R01","NS",104029,1,"A1",NA,9760039,"SOLECKI, DAVID JOSEPH","Not Applicable","St. Jude Children's Research Hospital",NA,2018,392656,NA,NA,"Include"
"3559",13878,"Contribution of rod photoresponse inactivation kinetics to visual temporal contrast sensitivity in mesopic light","NEI",9019065,"1R01EY026216-01",1,"R01","EY",26216,1,"",NA,7124413,"SOLESSIO, EDUARDO C","Not Applicable","Upstate Medical University",NA,2016,363375,NA,NA,"Include"
"3560",13889,"Mechanisms of polarization of monocytes by DAMPs/PAMPs and C1q","NIAID",9595765,"1R01AI135063-01A1",1,"R01","AI",135063,1,"A1",NA,10956198,"SON, MYOUNGSUN ","Not Applicable","Feinstein Institute For Medical Research",NA,2018,424562,NA,NA,"Include"
"3561",13892,"Stem cell-derived regulatory T cells for therapeutic use in arthritis","NIAID",9176564,"1R01AI121180-01A1",1,"R01","AI",121180,1,"A1",NA,9309272,"SONG, JIANXUN JIM","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2016,377431,NA,NA,"Include"
"3562",13899,"The role of PTEN feedback mechanism in cancer","NCI",9173626,"1R01CA196740-01A1",1,"R01","CA",196740,1,"A1",NA,10801762,"SONG, MIN SUP ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2016,366000,NA,NA,"Include"
"3563",13901,"Targeting Atr to promote regeneration and functional recovery after neural injury","NINDS",9576866,"1R01NS107392-01",1,"R01","NS",107392,1,"",NA,11713070,"SONG, YUANQUAN ","Not Applicable","Children's Hosp Of Philadelphia",NA,2018,376250,NA,NA,"Include"
"3564",13903,"THE ROLE OF TELOMERASE REGULATORS IN TELOMERE MAINTENANCE AND GENOMIC INSTABILITY","NCI",9215460,"1R01CA211653-01",1,"R01","CA",211653,1,"",NA,7353764,"SONGYANG, ZHOU ","Not Applicable","Baylor College Of Medicine",NA,2017,362569,NA,NA,"Include"
"3565",13907,"Disseminating an Evidence-Based Tobacco Control intervention for School Teachers in India","NCI",9238131,"1R01CA200691-01A1",1,"R01","CA",200691,1,"A1",NA,1867373,"SORENSEN, GLORIAN C","Not Applicable","Dana-Farber Cancer Inst",NA,2017,641938,NA,NA,"Include"
"3566",13908,"Giving Safety A Competitive Advantage: Increasing PFD Use Among Lobster Fishermen","NIOSH",9007163,"1R01OH011029-01",1,"R01","OH",11029,1,"",NA,9902432,"SORENSEN, JULIE ANN","Not Applicable","Mary Imogene Bassett Hospital",NA,2016,432732,NA,NA,"Include"
"3567",13916,"Imaging Histone Deacetylase in the Heart and Bone Marrow","NHLBI",9496333,"1R01HL141563-01",1,"R01","HL",141563,1,"",NA,7970517,"SOSNOVIK, DAVID E","Not Applicable","Massachusetts General Hospital",NA,2018,827290,NA,NA,"Include"
"3568",13922,"Brain and Cognitive Development in the PASS Cohort: The Impact of Prenatal Alcohol Exposure","NIAAA",9285211,"1R01AA025653-01",1,"R01","AA",25653,1,"",NA,3129871,"SOWELL, ELIZABETH R.","Not Applicable","Children's Hospital Of Los Angeles",NA,2017,616933,NA,NA,"Include"
"3569",13923,"Intergenerational Transmission of Deficits In Self-Regulatory Control","NIMH",9615554,"1R01MH117983-01",1,"R01","MH",117983,1,"",NA,8870151,"SPANN, MARISA N ","MARSH, RACHEL ;MONK, CATHERINE E","Columbia University Health Sciences",NA,2018,774812,NA,NA,"Include"
"3570",13925,"Retinal Disease Promoted by Iron-Induced Bisretinoid Oxidation","NEI",9517418,"1R01EY028131-01A1",1,"R01","EY",28131,1,"A1",NA,1933579,"SPARROW, JANET RUTHE","Not Applicable","Columbia University Health Sciences",NA,2018,529762,NA,NA,"Include"
"3571",13932,"Linking Insulin Signaling to Antimicrobial Peptide Production and the Kidney's Antibacterial Defenses","NIDDK",9523793,"1R01DK114035-01A1",1,"R01","DK",114035,1,"A1",NA,10932489,"SPENCER, JOHN DAVID","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2018,342000,NA,NA,"Include"
"3572",13933,"Eosinophil functions in allergic gastrointestinal diseases","NIAID",9305681,"1R01AI121186-01A1",1,"R01","AI",121186,1,"A1",NA,8900019,"SPENCER, LISA ANN","Not Applicable","Beth Israel Deaconess Medical Center",NA,2017,432500,NA,NA,"Include"
"3573",13945,"Effects of e-cigarette exposure during pregnancy on offspring lung function and disease: Characterization of pulmonary; intergenerational; and epigenetic effects","NHLBI",9626098,"1R01HL144384-01",1,"R01","HL",144384,1,"",NA,1882459,"SPINDEL, ELIOT R ","PINKERTON, KENT ED","Oregon Health & Science University",NA,2018,501748,NA,NA,"Include"
"3574",13947,"BEAR-MOON: A Two Arm Noninferiority Blinded Randomized Clinical Trial Comparing ACL Repair with BEAR Device vs. Standard of Care Autograft Patellar Tendon ACL Reconstruction","NIAMS",9593155,"1R01AR074131-01",1,"R01","AR",74131,1,"",NA,6121425,"SPINDLER, KURT PAUL","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2018,1363577,NA,NA,"Include"
"3575",13954,"Red blood cells from iron-deficient donors: recovery and storage quality","NHLBI",9156398,"1R01HL133049-01",1,"R01","HL",133049,1,"",NA,1881287,"SPITALNIK, STEVEN L ","HOD, ELDAD ARIE","Columbia University Health Sciences",NA,2016,776564,NA,NA,"Include"
"3576",13955,"X chromosome; gender and the host response to injury","NIGMS",9080042,"1R01GM118602-01",1,"R01","GM",118602,1,"",NA,1860708,"SPOLARICS, ZOLTAN ","Not Applicable","Rbhs-New Jersey Medical School",NA,2016,349800,NA,NA,"Include"
"3577",13959,"Determining the source of missing heritability","NIGMS",9154563,"1R01GM120122-01",1,"R01","GM",120122,1,"",NA,10230618,"SPRINGER, MICHAEL ","Not Applicable","Harvard Medical School",NA,2016,330816,NA,NA,"Include"
"3578",13966,"Defining the mechanisms of lymphatic and lymphovenous valve development","NHLBI",9194206,"1R01HL131652-01A1",1,"R01","HL",131652,1,"A1",NA,9491668,"SRINIVASAN, RAJANARAYANAN S","Not Applicable","Oklahoma Medical Research Foundation",NA,2016,442000,NA,NA,"Include"
"3579",13968,"Alcohol Carcinogenesis","NIAAA",9055190,"1R01AA024698-01",1,"R01","AA",24698,1,"",NA,7594533,"SRIVASTAVA, RAKESH K.","Not Applicable","Lsu Health Sciences Center",NA,2016,328500,NA,NA,"Include"
"3580",13969,"Targeting PGE2 Receptors to attenuate shear stress-induced glomerular injury","NIDDK",9122893,"1R01DK107490-01A1",1,"R01","DK",107490,1,"A1",NA,8220784,"SRIVASTAVA, TARAK ","Not Applicable","Children's Mercy Hosp (Kansas City, Mo)",NA,2016,401369,NA,NA,"Include"
"3581",13976,"Effect of long-term sleep restriction on energy balance","NHLBI",9175085,"1R01HL128226-01A1",1,"R01","HL",128226,1,"A1",NA,8029294,"ST-ONGE, MARIE-PIERRE ","Not Applicable","Columbia University Health Sciences",NA,2016,714823,NA,NA,"Include"
"3582",13977,"Virulence mechanisms in the emerging pathogen Kingella kingae","NIAID",9173170,"1R01AI121015-01A1",1,"R01","AI",121015,1,"A1",NA,8428111,"ST. GEME, JOSEPH W.","Not Applicable","Children's Hosp Of Philadelphia",NA,2016,420000,NA,NA,"Include"
"3583",13981,"Increasing biocompatibility of stents via CD47 surface functionalization: Mechanistic and Preclinical studies","NIBIB",9448802,"1R01EB023921-01A1",1,"R01","EB",23921,1,"A1",NA,6981479,"STACHELEK, STANLEY JOSEPH ","FISHBEIN, ILIA ","Children's Hosp Of Philadelphia",NA,2017,738017,NA,NA,"Include"
"3584",13999,"A multivariate predictive model for long-term disability post subarachnoid hemorrhage in Caucasian and African American populations","NINR",9423234,"1R01NR017407-01",1,"R01","NR",17407,1,"",NA,11163327,"STANFILL, ANSLEY ","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2018,319350,NA,NA,"Include"
"3585",14001,"Unrecognized scale and clinical relevance of somatic mosaicism","NICHD",9239076,"1R01HD087292-01A1",1,"R01","HD",87292,1,"A1",NA,7774531,"STANKIEWICZ, PAWEL ","Not Applicable","Baylor College Of Medicine",NA,2017,510438,NA,NA,"Include"
"3586",14002,"Mechanisms of sensorineural hearing loss: secreted factors","NIDCD",9221084,"1R01DC015824-01",1,"R01","DC",15824,1,"",NA,9365618,"STANKOVIC, KONSTANTINA M","Not Applicable","Massachusetts Eye And Ear Infirmary",NA,2016,424375,NA,NA,"Include"
"3587",14004,"Zero Suicide Implementation and Evaluation in Outpatient Mental Health Clinics","NIMH",9237597,"1R01MH112139-01",1,"R01","MH",112139,1,"",NA,1859040,"STANLEY, BARBARA ","Not Applicable","Columbia University Health Sciences",NA,2016,794585,NA,NA,"Include"
"3588",14007,"Growth Hormone Releasing Hormone Analog to Improve Nonalcoholic Fatty Liver Disease and Associated Cardiovascular Risk","NIDDK",9522472,"1R01DK114144-01A1",1,"R01","DK",114144,1,"A1",NA,8917379,"STANLEY, TAKARA LEAH ","COREY, KATHLEEN ELIZABETH","Massachusetts General Hospital",NA,2018,800344,NA,NA,"Include"
"3589",14008,"Randomized Trial of a Social Media-Delivered Intervention Targeting Indoor Tanning Users","NCI",9365314,"1R01CA218068-01",1,"R01","CA",218068,1,"",NA,10885868,"STAPLETON, JEROD LYNN","Not Applicable","Rbhs -Cancer Institute Of New Jersey",NA,2017,482609,NA,NA,"Include"
"3590",14010,"Functional Targeting of the Tyrosine Kinase EphA5 in Radiation-resistant Lung Cancer","NCI",9518167,"1R01CA218853-01A1",1,"R01","CA",218853,1,"A1",NA,8729119,"STAQUICINI, FERNANDA ","Not Applicable","Rbhs -Cancer Institute Of New Jersey",NA,2018,363713,NA,NA,"Include"
"3591",14011,"Targeting IRAK1/4 in Myelodysplastic Syndromes","NIDDK",9301788,"1R01DK113639-01",1,"R01","DK",113639,1,"",NA,10813775,"STARCZYNOWSKI, DANIEL ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2017,491203,NA,NA,"Include"
"3592",14019,"Mechanisms of Presynaptic Energetic Failure Due to Age-Related Pathologic Tau Accumulation","NIA",9578333,"1R01AG059785-01",1,"R01","AG",59785,1,"",NA,11733197,"STAUCH, KELLY LYNN","Not Applicable","University Of Nebraska Medical Center",NA,2018,381250,NA,NA,"Include"
"3593",14027,"Psychophysical Reweighting of Auditory Spatial Cues","NIDCD",9424030,"1R01DC016643-01",1,"R01","DC",16643,1,"",NA,9113955,"STECKER, GEORGE CHRISTOPHER","Not Applicable","Vanderbilt University Medical Center",NA,2018,193492,NA,NA,"Include"
"3594",14032,"1/2 Phenotype Predictors of Cognitive Outcomes in Geriatric Depression","NIMH",9176632,"1R01MH108578-01A1",1,"R01","MH",108578,1,"A1",NA,1961180,"STEFFENS, DAVID C.","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2016,438399,NA,NA,"Include"
"3595",14035,"Dissecting the Pathogenesis of Ewing Sarcoma with Integrative Genomics","NCI",9239221,"1R01CA204915-01A1",1,"R01","CA",204915,1,"A1",NA,6772288,"STEGMAIER, KIMBERLY  ","SWEET-CORDERO, ERIC ALEJANDRO","Dana-Farber Cancer Inst",NA,2017,396547,NA,NA,"Include"
"3596",14037,"Reversing Hemianopia with Cross-Modal Training","NEI",9156143,"1R01EY026916-01",1,"R01","EY",26916,1,"",NA,1862025,"STEIN, BARRY E ","ROWLAND, BENJAMIN A","Wake Forest University Health Sciences",NA,2016,397835,NA,NA,"Include"
"3597",14038,"Salt; Blood Pressure; and Inflammation","NHLBI",9432234,"1R01HL140145-01",1,"R01","HL",140145,1,"",NA,2201674,"STEIN, CHARLES M. ","TITZE, JENS MARC","Vanderbilt University Medical Center",NA,2018,570020,NA,NA,"Include"
"3598",14042,"Epigenetic changes in synaptic and inflammatory genes involved in the age-dependent development of Alzheimer's disease pathologies andcognitive decline","NIA",9195889,"1RF1AG054156-01",1,"RF1","AG",54156,1,"",NA,10876888,"STEIN, THOR  ","AU, RHODA ;RYU, HOON ","Boston University Medical Campus",NA,2016,3047094,NA,NA,"Include"
"3599",14044,"A novel molecular determinant of the cardiac beta1-adrenergic receptor response","NHLBI",9522949,"1R01HL138468-01A1",1,"R01","HL",138468,1,"A1",NA,1879518,"STEINBERG, SUSAN F","Not Applicable","Columbia University Health Sciences",NA,2018,608750,NA,NA,"Include"
"3600",14057,"Implied Modified Risk Statements as Predictors of Flavored Little Cigar and Cigarillo Use","NCI",9645310,"1R01CA228906-01A1",1,"R01","CA",228906,1,"A1",NA,9877167,"STERLING, KYMBERLE L","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2018,486124,NA,NA,"Include"
